Source,Target,Importance
GENE3,GENE50,0.3333333333333333
GENE1,GENE137,0.3333333333333333
GENE187,GENE200,0.3333333333333333
GENE64,GENE140,0.3333333333333333
GENE98,GENE114,0.3333333333333333
GENE1,GENE60,0.3333333333333333
GENE178,GENE149,0.3333333333333333
GENE45,GENE39,0.3333333333333333
GENE64,GENE57,0.3333333333333333
GENE33,GENE180,0.3333333333333333
GENE94,GENE51,0.3333333333333333
GENE102,GENE42,0.3333333333333333
GENE132,GENE169,0.3333333333333333
GENE11,GENE134,0.3333333333333333
GENE11,GENE129,0.3333333333333333
GENE62,GENE166,0.3333333333333333
GENE132,GENE56,0.3333333333333333
GENE175,GENE2,0.3333333333333333
GENE45,GENE142,0.3333333333333333
GENE5,GENE104,0.3333333333333333
GENE71,GENE192,0.3333333333333333
GENE138,GENE85,0.3333333333333333
GENE7,GENE55,0.3333333333333333
GENE92,GENE164,0.3333333333333333
GENE75,GENE152,0.3333333333333333
GENE3,GENE90,0.3333333333333333
GENE55,GENE38,0.3333333333333333
GENE28,GENE72,0.3333333333333333
GENE3,GENE29,0.3333333333333333
GENE24,GENE161,0.3333333333333333
GENE9,GENE4,0.3333333333333333
GENE1,GENE161,0.25
GENE160,GENE45,0.25
GENE85,GENE164,0.25
GENE138,GENE33,0.25
GENE9,GENE88,0.25
GENE132,GENE190,0.25
GENE102,GENE6,0.25
GENE18,GENE142,0.25
GENE35,GENE70,0.25
GENE61,GENE84,0.25
GENE7,GENE28,0.25
GENE11,GENE143,0.25
GENE61,GENE12,0.25
GENE102,GENE69,0.25
GENE138,GENE169,0.25
GENE35,GENE145,0.25
GENE7,GENE77,0.25
GENE200,GENE104,0.25
GENE3,GENE68,0.25
GENE49,GENE141,0.25
GENE11,GENE73,0.25
GENE108,GENE23,0.25
GENE64,GENE129,0.25
GENE104,GENE127,0.25
GENE61,GENE42,0.25
GENE180,GENE52,0.25
GENE64,GENE34,0.25
GENE18,GENE25,0.25
GENE71,GENE137,0.25
GENE45,GENE180,0.25
GENE9,GENE5,0.25
GENE102,GENE78,0.25
GENE33,GENE138,0.25
GENE47,GENE54,0.25
GENE115,GENE114,0.25
GENE7,GENE39,0.25
GENE62,GENE27,0.25
GENE71,GENE79,0.25
GENE132,GENE167,0.25
GENE18,GENE10,0.25
GENE102,GENE50,0.25
GENE127,GENE26,0.25
GENE104,GENE9,0.25
GENE124,GENE118,0.25
GENE28,GENE181,0.25
GENE3,GENE13,0.25
GENE28,GENE176,0.25
GENE18,GENE146,0.25
GENE83,GENE71,0.25
GENE55,GENE133,0.25
GENE24,GENE90,0.25
GENE190,GENE157,0.25
GENE61,GENE83,0.25
GENE129,GENE174,0.25
GENE24,GENE58,0.25
GENE33,GENE48,0.25
GENE45,GENE171,0.25
GENE35,GENE86,0.25
GENE64,GENE96,0.25
GENE26,GENE36,0.25
GENE1,GENE147,0.25
GENE45,GENE177,0.25
GENE47,GENE87,0.25
GENE55,GENE17,0.25
GENE7,GENE63,0.25
GENE161,GENE93,0.25
GENE3,GENE74,0.25
GENE102,GENE193,0.25
GENE98,GENE109,0.25
GENE22,GENE125,0.25
GENE24,GENE159,0.25
GENE7,GENE89,0.25
GENE122,GENE115,0.25
GENE64,GENE188,0.25
GENE152,GENE189,0.25
GENE98,GENE154,0.25
GENE26,GENE128,0.25
GENE45,GENE4,0.25
GENE152,GENE117,0.25
GENE127,GENE91,0.25
GENE160,GENE186,0.25
GENE196,GENE99,0.25
GENE117,GENE113,0.25
GENE187,GENE126,0.25
GENE43,GENE29,0.25
GENE24,GENE59,0.25
GENE160,GENE103,0.25
GENE164,GENE92,0.25
GENE118,GENE100,0.25
GENE35,GENE72,0.25
GENE26,GENE72,0.2
GENE47,GENE85,0.2
GENE1,GENE83,0.2
GENE117,GENE157,0.2
GENE138,GENE75,0.2
GENE192,GENE62,0.2
GENE61,GENE1,0.2
GENE61,GENE26,0.2
GENE11,GENE127,0.2
GENE5,GENE160,0.2
GENE127,GENE104,0.2
GENE9,GENE28,0.2
GENE62,GENE179,0.2
GENE7,GENE145,0.2
GENE20,GENE139,0.2
GENE55,GENE76,0.2
GENE5,GENE84,0.2
GENE26,GENE38,0.2
GENE160,GENE16,0.2
GENE28,GENE63,0.2
GENE9,GENE3,0.2
GENE33,GENE134,0.2
GENE47,GENE131,0.2
GENE35,GENE42,0.2
GENE102,GENE48,0.2
GENE9,GENE69,0.2
GENE160,GENE24,0.2
GENE55,GENE39,0.2
GENE85,GENE50,0.2
GENE43,GENE173,0.2
GENE28,GENE78,0.2
GENE18,GENE23,0.2
GENE9,GENE166,0.2
GENE55,GENE77,0.2
GENE45,GENE73,0.2
GENE28,GENE30,0.2
GENE55,GENE181,0.2
GENE18,GENE169,0.2
GENE102,GENE192,0.2
GENE9,GENE32,0.2
GENE104,GENE52,0.2
GENE24,GENE147,0.2
GENE45,GENE144,0.2
GENE138,GENE37,0.2
GENE104,GENE41,0.2
GENE127,GENE80,0.2
GENE33,GENE46,0.2
GENE55,GENE10,0.2
GENE33,GENE17,0.2
GENE117,GENE182,0.2
GENE45,GENE136,0.2
GENE127,GENE58,0.2
GENE55,GENE8,0.2
GENE127,GENE193,0.2
GENE117,GENE116,0.2
GENE92,GENE161,0.2
GENE102,GENE170,0.2
GENE160,GENE92,0.2
GENE110,GENE117,0.2
GENE132,GENE159,0.2
GENE196,GENE113,0.2
GENE45,GENE64,0.2
GENE11,GENE188,0.2
GENE117,GENE199,0.2
GENE26,GENE4,0.2
GENE102,GENE148,0.2
GENE28,GENE74,0.2
GENE9,GENE29,0.2
GENE102,GENE31,0.2
GENE180,GENE45,0.2
GENE40,GENE148,0.1666666666666666
GENE161,GENE92,0.1666666666666666
GENE94,GENE35,0.1666666666666666
GENE189,GENE122,0.1666666666666666
GENE98,GENE106,0.1666666666666666
GENE92,GENE188,0.1666666666666666
GENE138,GENE64,0.1666666666666666
GENE104,GENE97,0.1666666666666666
GENE189,GENE114,0.1666666666666666
GENE98,GENE113,0.1666666666666666
GENE5,GENE200,0.1666666666666666
GENE5,GENE110,0.1666666666666666
GENE118,GENE101,0.1666666666666666
GENE152,GENE75,0.1666666666666666
GENE160,GENE165,0.1666666666666666
GENE118,GENE161,0.1666666666666666
GENE33,GENE193,0.1666666666666666
GENE157,GENE116,0.1666666666666666
GENE45,GENE56,0.1666666666666666
GENE5,GENE118,0.1666666666666666
GENE200,GENE160,0.1666666666666666
GENE24,GENE57,0.1666666666666666
GENE11,GENE123,0.1666666666666666
GENE71,GENE51,0.1666666666666666
GENE192,GENE67,0.1666666666666666
GENE81,GENE149,0.1666666666666666
GENE3,GENE131,0.1666666666666666
GENE164,GENE85,0.1666666666666666
GENE170,GENE89,0.1666666666666666
GENE24,GENE170,0.1666666666666666
GENE7,GENE14,0.1666666666666666
GENE7,GENE42,0.1666666666666666
GENE102,GENE30,0.1666666666666666
GENE28,GENE48,0.1666666666666666
GENE45,GENE38,0.1666666666666666
GENE28,GENE76,0.1666666666666666
GENE138,GENE137,0.1666666666666666
GENE43,GENE134,0.1666666666666666
GENE28,GENE168,0.1666666666666666
GENE24,GENE69,0.1666666666666666
GENE117,GENE185,0.1666666666666666
GENE24,GENE32,0.1666666666666666
GENE64,GENE24,0.1666666666666666
GENE55,GENE166,0.1666666666666666
GENE45,GENE27,0.1666666666666666
GENE92,GENE172,0.1666666666666666
GENE180,GENE73,0.1666666666666666
GENE83,GENE61,0.1666666666666666
GENE40,GENE78,0.1666666666666666
GENE47,GENE31,0.1666666666666666
GENE62,GENE39,0.1666666666666666
